,Title,Image,Price,Description
0,Thuốc kích rễ Thái,https://hoalanhuyanh.com/userfiles/image/vat-tu/thuoc/kich-re-hang-thai-1-1.jpg,"Giá: 
                            										100.000 VNĐ										/chai 100ml	

                                                		","Thuốc kích rễ công cụ hiệu quả giúp nhà vườn, người trồng lan thúc đẩy sự phát triển của cây sau khi ghép"
1,Chậu trầm nestor đẹp,https://hoalanhuyanh.com/userfiles/image/gio-lan/chau-nestor/anh-nho-chau-nestor-4-dau-1.jpg,"Giá: 
                            										350.000 VNĐ										/Chậu	

                                                		","Trầm nestor loại trầm đa phần ra bông to màu đậm, rất thơm. Đặc biệt cây rất khỏe, rất sai hoa. Cùng mùa hoa với trầm tím."
2,Giả hạc sao thiên vương,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/sao-thien-vuong/anh-nho-sao-thien-vuong-hinh-hoa.jpg,"Giá: 
                            										700.000 VNĐ										/Cây	

                                                		","Sao thiên vương là loại giả hạc có mặt bông cực đẹp, là cây tem nhân giống ra nhiều mặt hoa khác tương tự. Cây rất đẹp, thân mập"
3,Thiên cung 3 lưỡi,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/thien-cung-3-luoi/anh-nho-hinh-hoa-thien-cung-3-luoi.jpg,"Giá: 
                            										850.000 VNĐ										/Cây	

                                                		","Bông hoa lan 3 lưỡi cực hiếm gặp và vô cùng đẹp, thay vì 1 chúng có đến 3 lưỡi, chỉ còn lại 3 cánh dài. Trong số các kiểu hoa thân thòng thì phom hoa này là hiếm gặp nhất."
4,Trầm thiên long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/thien-long/anh-nho-thien-long-hinh-hoa.jpg,"Giá: 
                            										450.000 VNĐ										/Chậu	

                                                		","Thiên long tên một loại trầm của Đài Loan có hoa hội tụ đầy đủ yếu tố được coi là bông trầm đẹp, cánh bầu, màu đỏ đều, mắt đậm, rất thơm, bông to. "
5,"Giả hạc 5 cánh trắng họng hồng, hàng Đài",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/5ct-dai/5ct-dai-loan-1-2.jpg,"Giá: 
                            										450.000 VNĐ										/chậu	

                                                		","Giả hạc 5 cánh trắng họng hồng (Den anosmum var semir aba pink), hàng Đài Loan hay phi điệp 5 cánh trắng họng hồng, mỗi mầm dài khoảng 20cm, đang phát triển mạnh. Xem hình ảnh bên dưới."
6,Trầm trắng hàng Thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/trang-thai/tram-trang-thai-cay-dep-3-2.jpg,"Giá: 
                            										260.000 VNĐ										/Cây	

                                                		","Trầm trắng hàng Thái , cậy đẹp đang phát triển tốt, các bác có thể xem hình ảnh thực tế bên dưới nhé, em bán cây như hình. Thoải mái hoa mùa tới"
7,Kiếm vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/kiem/kiem-vang-3-1.jpg,"Giá: 
                            										1.500.000 VNĐ										/khóm	

                                                		","Loại kiếm này khá dễ chăm sóc, hoa đẹp màu vàng vào mùa hè, cây rất khỏe. Phù hợp với khí hậu nhiều vùng"
8,Giả hạc Chớp mỹ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/hoa-lan-chop-my-1-1.jpg,"Giá: 
                            										1.300.000 VNĐ										/Cây	

                                                		","Mặt bông đẹp, lạ được nhiều người yêu thích. Màu chớp trắng tím, bông to. Loại lan này dành được giải thưởng hoa lan đẹp nhất của Mỹ, vì thế mọi người gọi là chớp mỹ. Hiện tại ở việt nam đây vẫn là một giống lan hiếm, có giá khá cao, nhưng mặt bông thì thực sự xứng đáng."
9,Ono 15,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/ono/hinh-hoa-ono-15-1.jpg,"Giá: 
                            										180.000 VNĐ										/Cây	

                                                		","Hàng đài nên mặt hoa rất đẹp và chuẩn. Giả hạc ONO 15 có thân khá giống hoa hồng đỏ hay hồng ngọc nhưng phom hoa hoàn toàn khác, rất nổi bật. Bảo hành mặt hoa"
10,Giả hạc 5 cánh trắng họng tím,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/2017/5canhtrangtim/5-canh-trang-hong-tim-1-1.jpg,"Giá: 
                            										250.000 VNĐ										/ngọn	

                                                		","Cây khỏe đẹp, hàng đài loan , bảo hành mặt hoa 5 cánh trắng họng tím. Hiện tại em bán đang trồng cốc rêu giữ ẩm, có 2 cỡ đều có thể hoa mùa tới"
11,Trầm 6 cánh hàng đài,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/6-canh/tram-6-canh-3-1.jpg,"Giá: 
                            										400.000 VNĐ										/cốc	

                                                		","Cây mô năm 2 nên rất khỏe, các thân non phát triển mạnh. Hoa 6 cánh, sắc độ màu tím hoặc đỏ khác nhau."
12,Giả hạc đại bạch long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/dai-bach-long-3-1.jpg,"Giá: 
                            										220.000 VNĐ										/Cây	

                                                		",Đây là loại lan nổi tiếng với chiều dài và mặt hoa đẹp của đài loan. Cây có hoa trắng và chiều dài khủng nên hoàn toàn xứng đáng với tên đại bạch long
13,Giả hạc 4N,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/gia-hac-4n-3-1.jpg,"Giá: 
                            										260.000 VNĐ										/Cây	

                                                		","Đặc điểm giả hạc 4N bông to, rất sai hoa, màu hoa đậm, thơm. Thân cây to phát triển rất nhanh, lá tròn tròn rất đẹp. "
14,Trầm 6 mắt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/6-mat/tram-6-mat-4-1.jpg,"Giá: 
                            										240.000 VNĐ										/chậu	

                                                		","Có nhiều mặt, hoa các bông có mắt đạm, nhạt, to nhỏ khác nhau. Các bông chuẩn có giá trị cao là bông có đủ 6 mắt đậm và kích thước các mắt đồng đều."
15,Giả hạc hồng búp bê,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/hong-bup-be/anh-nho-hoa-gia-hac-hong-bup-be.jpg,"Giá: 
                            										320.000 VNĐ										/Cây	

                                                		","Giả hạc hồng búp bê, cây đẹp mà hoa lại càng đẹp hơn, có nét giống sao thiên vương nhưng nhẹ nhàng, tinh tế hơn. Đây là một giống giả hạc mới của Đài Loan. [Cây to, Hoa mùa tới]"
16,Trầm Thanh Hoa cánh ám,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/thanh-hoa/anh-nho-hinh-hoa-tram-thanh-hoa.jpg,"Giá: 
                            										350.000 VNĐ										/Chậu	

                                                		",Bông trầm này là sự kết hợp của loại trầm thanh hoa nổi tiếng và trầm ám mắt nai. Mặc dù là cây lai nhưng đã cho hoa ổn định năm trước
17,Trầm tím trồng vườn đã lâu,https://hoalanhuyanh.com/userfiles/image/gio-lan/tram-tim/thuan-lau/hinh-hoa-tram-tim.jpg,"Giá: 
                            										300.000 VNĐ										/giò	

                                                		","Trầm tím trồng gỗ hoặc chậu nhữa, dễ dàng ghép giá thể mới, nhiều ngọn dài, tất cả đều trên 3 năm. Năm nào cũng sai hoa, cây rất khỏe, dễ chăm"
18,Trầm 5 cánh trắng mắt hồng ngọc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/5-ct/hong-ngoc/anh-nho-hinh-hoa-5-ct-mat-hong-ngoc.jpg,"Giá: 
                            										380.000 VNĐ										/chậu	

                                                		",Bông trầm 5 cánh trắng mắt hồng ngọc có phom hoa tương tự như 5 cánh trắng mắt đỏ hay 5 cánh trắng blue nhưng nhìn kỹ sẽ thấy mắt có sự khác biệt
